NW. Tarangan	txn	ɔr	wallaby	**ɸayaR	\cite{Nivens2017}
SW. Tarangan	txn	ɔr	wallaby	**ɸayaR	\cite{Nivens2017}
Ujir	ugj	ladi	sugar glider	**la[dŋ]i	\cite{Nivens2017}
Dobel	kvo	laŋi	sugar glider	**la[dŋ]i	\cite{Nivens2017}
NW. Tarangan	txn	lan	sugar glider	**la[dŋ]i	\cite{Nivens2017}
SW. Tarangan	txn	lan	sugar glider	**la[dŋ]i	\cite{Nivens2017}
Ujir	ugj	diʤua,	Three-striped dasyure	**ŋiR(iu)wa	\cite{Nivens2017}
		daʤua	mouse/rat?		
Kompane	kvp	dahia	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
West Kola	kvv	daʤiwa/dayiwa	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
East Kola	kvv	dahiwa/dehiwa	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Lola	lcd	dihó	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Lorang	lrn	ŋirugwa	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Dobel	kvo	ŋiro	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Koba	kpd	ŋarugwa	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Barakai	baj	deːróʔ	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
Manombai	woo	derua	mouse/rat?	**ŋiR(iu)wa	\cite{Nivens2017}
NE. Tarangan	tre	ʤirua	mouse/rat	**ŋiR(iu)wa	\cite{Nivens2017}
NW. Tarangan	txn	ʤirua	mouse/rat	**ŋiR(iu)wa	\cite{Nivens2017}
SW. Tarangan	txn	nirua	mouse/rat	**ŋiR(iu)wa	\cite{Nivens2017}
Dobel	kvo	ʔartáw	mouse/rat?	**kartá[βw](u)	\cite{Nivens2017}
Barakai	baj	kartá	mouse/rat?	**kartá[βw](u)	\cite{Nivens2017}
